"quartier","ignore","mask","directory",,,"gcp_file","numeros","numeros_output","id","source","url","annotation_output","gcp_output"
33,1,33,"33-a finir","FRAN_0265_00052","FRAN_0265_00052_L.png","cadastre_general_paris/33/FRAN_0265_00052_L.png.points","cadastre_general_paris_numeros/33-a finir/NUMEROS_QUARTIER_33_CORRIGES.zip","cadastre_general_paris_resultat/33/NUMEROS_QUARTIER_33_CORRIGES_GEOREF.gpkg","FRAN_0265_00052","FRAN_0265/FRAN_0265_00052_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00052_L.png","output/Atlas_general_de_Paris/FRAN_0265_00052.json",
34,1,34,"34-a finir","FRAN_0265_00053","FRAN_0265_00053_L.png","cadastre_general_paris/34/FRAN_0265_00053_L.png.points","cadastre_general_paris_numeros/34-a finir/NUMEROS_QUARTIER_34_CORRIGES.zip","cadastre_general_paris_resultat/34/NUMEROS_QUARTIER_34_CORRIGES_GEOREF.gpkg","FRAN_0265_00053","FRAN_0265/FRAN_0265_00053_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00053_L.png","output/Atlas_general_de_Paris/FRAN_0265_00053.json",
35,1,35,"35-a finir","FRAN_0265_00054","FRAN_0265_00054_L.png","cadastre_general_paris/35/FRAN_0265_00054_L.png.points","cadastre_general_paris_numeros/35-a finir/NUMEROS_QUARTIER_35_CORRIGES.zip","cadastre_general_paris_resultat/35/NUMEROS_QUARTIER_35_CORRIGES_GEOREF.gpkg","FRAN_0265_00054","FRAN_0265/FRAN_0265_00054_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00054_L.png","output/Atlas_general_de_Paris/FRAN_0265_00054.json",
36,1,36,"36-a finir","FRAN_0265_00055","FRAN_0265_00055_L.png","cadastre_general_paris/36/FRAN_0265_00055_L.png.points","cadastre_general_paris_numeros/36-a finir/NUMEROS_QUARTIER_36_CORRIGES.zip","cadastre_general_paris_resultat/36/NUMEROS_QUARTIER_36_CORRIGES_GEOREF.gpkg","FRAN_0265_00055","FRAN_0265/FRAN_0265_00055_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00055_L.png","output/Atlas_general_de_Paris/FRAN_0265_00055.json",
37,1,37,"37-a finir","FRAN_0265_00057","FRAN_0265_00057_L.png","cadastre_general_paris/37/FRAN_0265_00057_L.png.points","cadastre_general_paris_numeros/37-a finir/NUMEROS_QUARTIER_37_CORRIGES.zip","cadastre_general_paris_resultat/37/NUMEROS_QUARTIER_37_CORRIGES_GEOREF.gpkg","FRAN_0265_00057","FRAN_0265/FRAN_0265_00057_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00057_L.png","output/Atlas_general_de_Paris/FRAN_0265_00057.json",
38,1,38,38,"FRAN_0265_00058","FRAN_0265_00058_L.png","cadastre_general_paris/38/FRAN_0265_00058_L.png.points","cadastre_general_paris_numeros/38/NUMEROS_QUARTIER_38_CORRIGES.zip","cadastre_general_paris_resultat/38/NUMEROS_QUARTIER_38_CORRIGES_GEOREF.gpkg","FRAN_0265_00058","FRAN_0265/FRAN_0265_00058_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00058_L.png","output/Atlas_general_de_Paris/FRAN_0265_00058.json",
39,1,"39_1","39_1-a finir","FRAN_0265_00060","FRAN_0265_00060_L.png","cadastre_general_paris/39/FRAN_0265_00060_L.png.points","cadastre_general_paris_numeros/39_1-a finir/NUMEROS_QUARTIER_39_1_CORRIGES.zip","cadastre_general_paris_resultat/39/NUMEROS_QUARTIER_39_1_CORRIGES_GEOREF.gpkg","FRAN_0265_00060","FRAN_0265/FRAN_0265_00060_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00060_L.png","output/Atlas_general_de_Paris/FRAN_0265_00060.json",
39,1,"39_2","39_2-a finir","FRAN_0265_00059","FRAN_0265_00059_L.png","cadastre_general_paris/39/FRAN_0265_00059_L.png.points","cadastre_general_paris_numeros/39_2-a finir/NUMEROS_QUARTIER_39_2_CORRIGES.zip","cadastre_general_paris_resultat/39/NUMEROS_QUARTIER_39_2_CORRIGES_GEOREF.gpkg","FRAN_0265_00059","FRAN_0265/FRAN_0265_00059_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00059_L.png","output/Atlas_general_de_Paris/FRAN_0265_00059.json",
40,1,40,"40-a finir","FRAN_0265_00061","FRAN_0265_00061_L_5.png","cadastre_general_paris/40/FRAN_0265_00061_L_5.png.points","cadastre_general_paris_numeros/40-a finir/NUMEROS_QUARTIER_40_CORRIGES.zip","cadastre_general_paris_resultat/40/NUMEROS_QUARTIER_40_CORRIGES_GEOREF.gpkg","FRAN_0265_00061","FRAN_0265/FRAN_0265_00061_L_5.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00061_L_5.png","output/Atlas_general_de_Paris/FRAN_0265_00061.json",
41,1,41,"41-a finir","FRAN_0265_00063","FRAN_0265_00063_L.png","cadastre_general_paris/41/FRAN_0265_00063_L.png.points","cadastre_general_paris_numeros/41-a finir/NUMEROS_QUARTIER_41_CORRIGES.zip","cadastre_general_paris_resultat/41/NUMEROS_QUARTIER_41_CORRIGES_GEOREF.gpkg","FRAN_0265_00063","FRAN_0265/FRAN_0265_00063_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00063_L.png","output/Atlas_general_de_Paris/FRAN_0265_00063.json",
42,1,42,"42-a finir","FRAN_0265_00064","FRAN_0265_00064_L.png","cadastre_general_paris/42/FRAN_0265_00064_L.png.points","cadastre_general_paris_numeros/42-a finir/NUMEROS_QUARTIER_42_CORRIGES.zip","cadastre_general_paris_resultat/42/NUMEROS_QUARTIER_42_CORRIGES_GEOREF.gpkg","FRAN_0265_00064","FRAN_0265/FRAN_0265_00064_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00064_L.png","output/Atlas_general_de_Paris/FRAN_0265_00064.json",
43,1,43,"43-a finir","FRAN_0265_00065","FRAN_0265_00065_L.png","cadastre_general_paris/43/FRAN_0265_00065_L.png.points","cadastre_general_paris_numeros/43-a finir/NUMEROS_QUARTIER_43_CORRIGES.zip","cadastre_general_paris_resultat/43/NUMEROS_QUARTIER_43_CORRIGES_GEOREF.gpkg","FRAN_0265_00065","FRAN_0265/FRAN_0265_00065_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00065_L.png","output/Atlas_general_de_Paris/FRAN_0265_00065.json",
44,1,44,"44-a finir","FRAN_0265_00066","FRAN_0265_00066_L.png","cadastre_general_paris/44/FRAN_0265_00066_L.png.points",,,"FRAN_0265_00066","FRAN_0265/FRAN_0265_00066_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00066_L.png","output/Atlas_general_de_Paris/FRAN_0265_00066.json",
44,1,,"44-a finir/SHD-83","SHDGR__GR_6_M_J10_C_1188_001__0083","SHDGR__GR_6_M_J10_C_1188_001__0083.jpg","cadastre_general_paris/44/SHDGR__GR_6_M_J10_C_1188_001__0083.jpg.points","cadastre_general_paris_numeros/44-a finir/SHD-83/NUMEROS_QUARTIER_44_PLANCHE_SHD_83_CORRIGES.zip","cadastre_general_paris_resultat/44/NUMEROS_QUARTIER_44_1_CORRIGES_GEOREF.gpkg","SHDGR__GR_6_M_J10_C_1188_001__0083","SHDGR__GR_6_M_J10_C_1188_001/SHDGR__GR_6_M_J10_C_1188_001__0083.jpg",,,
44,1,,"44-a finir/SHD-95","SHDGR__GR_6_M_J10_C_1188_001__0095","SHDGR__GR_6_M_J10_C_1188_001__0095.jpg","cadastre_general_paris/44/SHDGR__GR_6_M_J10_C_1188_001__0095.jpg.points","cadastre_general_paris_numeros/44-a finir/SHD-95/NUMEROS_QUARTIER_44_PLANCHE_SHD_95_CORRIGES.zip","cadastre_general_paris_resultat/44/NUMEROS_QUARTIER_44_2_CORRIGES_GEOREF.gpkg","SHDGR__GR_6_M_J10_C_1188_001__0095","SHDGR__GR_6_M_J10_C_1188_001/SHDGR__GR_6_M_J10_C_1188_001__0095.jpg",,,
45,1,45,"45-a finir","FRAN_0265_00068","FRAN_0265_00068_L.png","cadastre_general_paris/45/FRAN_0265_00068_L.png.points","cadastre_general_paris_numeros/45-a finir/NUMEROS_QUARTIER_45_CORRIGES.zip","cadastre_general_paris_resultat/45/NUMEROS_QUARTIER_45_CORRIGES_GEOREF.gpkg","FRAN_0265_00068","FRAN_0265/FRAN_0265_00068_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00068_L.png","output/Atlas_general_de_Paris/FRAN_0265_00068.json",
46,1,46,"46-a finir","FRAN_0265_00069","FRAN_0265_00069_L_5.png","cadastre_general_paris/46/FRAN_0265_00069_L_5.png.points","cadastre_general_paris_numeros/46-a finir/NUMEROS_QUARTIER_46_CORRIGES.zip","cadastre_general_paris_resultat/46/NUMEROS_QUARTIER_46_CORRIGES_GEOREF.gpkg","FRAN_0265_00069","FRAN_0265/FRAN_0265_00069_L_5.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00069_L_5.png","output/Atlas_general_de_Paris/FRAN_0265_00069.json",
47,1,47,"47-a finir","FRAN_0265_00070","FRAN_0265_00070_L.png","cadastre_general_paris/47/FRAN_0265_00070_L.png.points","cadastre_general_paris_numeros/47-a finir/NUMEROS_QUARTIER_47_CORRIGES.zip","cadastre_general_paris_resultat/47/NUMEROS_QUARTIER_47_CORRIGES_GEOREF.gpkg","FRAN_0265_00070","FRAN_0265/FRAN_0265_00070_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00070_L.png","output/Atlas_general_de_Paris/FRAN_0265_00070.json",
48,,48,48,"FRAN_0265_00071","FRAN_0265_00071_L.png","cadastre_general_paris/48/FRAN_0265_00071_L.png.points","cadastre_general_paris_numeros/48/NUMEROS_QUARTIER_48_CORRIGES.zip","cadastre_general_paris_resultat/48/NUMEROS_QUARTIER_48_CORRIGES_GEOREF.gpkg","FRAN_0265_00071","FRAN_0265/FRAN_0265_00071_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00071_L.png","output/Atlas_general_de_Paris/FRAN_0265_00071.json",
